Name,Author,Genre,Length,status,Language,Origin,Date Finished,Date started,notes
The Dutch House,Ann Patchett,⏳ Historical Fiction,352,5. finished,EN,audiobook,"February 15, 2022","February 12, 2022",
The many lives of Heloise Starchild,John Ironmonger,"⏳ Historical Fiction, 👽 SciFi",288,5. finished,EN,library,"March 18, 2022","March 15, 2022",♥
Great North Road,Peter F. Hamilton,👽 SciFi,1086,4. to start again,EN,owned,,"February 19, 2022",slow reading
The Pull of the Stars,Emma Donoghue,⏳ Historical Fiction,295,5. finished,EN,library,"March 11, 2022","March 1, 2022",
The Sound of Stars,Alechia Dow,"♥ Romance, 👽 SciFi",304,5. finished,EN,ebook,"March 26, 2022","March 5, 2022","Hyper cringy, overly cheesy. 🤮"
https://www.goodreads.com/book/show/59547855-the-paradox-hotel,Rob Hart,👽 SciFi,336,5. finished,EN,audiobook,"March 8, 2022","February 28, 2022",
The Humans,Matt Haig,👽 SciFi,291,5. finished,EN,audiobook,"February 24, 2022","February 20, 2022",
"Shards of Earth
https://www.goodreads.com/series/305076-the-final-architecture",Adrian Tchaikovsky,👽 SciFi,561,5. finished,EN,library,"February 16, 2022","January 21, 2022",
Lucid Dreaming: Gateway to the Inner Self,Robert Waggoner,👻 Metaphysical,320,5. finished,EN,ebook,"May 31, 2021","May 10, 2021",
De coders,Clive Thompson,👩‍💻 Computer Science,396,5. finished,NL,library,"January 20, 2021","November 1, 2020",
Toen God een Konijn Was,Sarah Winman,👁‍🗨 Fiction,300,5. finished,NL,library,"February 15, 2021","January 31, 2021",
Cage of Souls,Adrian Tchaikovsky,👽 SciFi,602,5. finished,EN,library,"August 7, 2021","June 18, 2021",
Ball Lightning,Liu Cixin,👽 SciFi,384,5. finished,EN,library,"August 6, 2021","July 8, 2021",
"The Long Way to a Small, Angry Planet
",Becky Chambers,👽 SciFi,404,5. finished,EN,library,"August 23, 2021","August 16, 2021",
"That Time I Got Reincarnated as a Slime, Vol. 9",Fuse,🎌 Light Novel,674,5. finished,EN,ebook,"October 27, 2021","October 16, 2021",
"That Time I Got Reincarnated as a Slime, Vol. 8",Fuse,🎌 Light Novel,674,5. finished,EN,ebook,"October 16, 2021","October 12, 2021",
